CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_level,Cluster
12346.0,326,1,77183.6,1,1,4,114,6,Silver,1
12347.0,2,182,4309.999999999997,4,4,4,444,12,Platinum,2
12348.0,75,31,1797.24,2,2,4,224,8,Gold,1
12349.0,19,73,1757.55,3,3,4,334,10,Platinum,1
12350.0,310,17,334.40000000000003,1,1,2,112,4,Bronze,0
12352.0,36,85,2506.040000000001,3,3,4,334,10,Platinum,1
12353.0,204,4,89.0,1,1,1,111,3,Bronze,0
12354.0,232,58,1079.4,1,3,3,133,7,Silver,1
12355.0,214,13,459.4,1,1,2,112,4,Bronze,0
12356.0,23,59,2811.4300000000007,3,3,4,334,10,Platinum,1
12357.0,33,131,6207.669999999996,3,4,4,344,11,Platinum,2
12358.0,2,19,1168.06,4,2,3,423,9,Gold,2
12359.0,58,245,6310.030000000005,2,4,4,244,10,Platinum,2
12360.0,52,129,2662.0600000000004,2,4,4,244,10,Platinum,1
12361.0,287,10,189.89999999999998,1,1,1,111,3,Bronze,0
12362.0,3,266,5226.230000000003,4,4,4,444,12,Platinum,2
12363.0,110,23,552.0,2,2,2,222,6,Silver,0
12364.0,8,85,1313.1000000000001,4,3,3,433,10,Platinum,2
12365.0,291,22,641.38,1,2,2,122,5,Bronze,0
12367.0,4,11,168.9,4,1,1,411,6,Silver,1
12370.0,51,166,3541.939999999998,3,4,4,344,11,Platinum,1
12371.0,45,63,1887.9600000000003,3,3,4,334,10,Platinum,1
12372.0,72,52,1298.0400000000002,2,3,3,233,8,Gold,1
12373.0,311,14,364.6,1,1,2,112,4,Bronze,0
12374.0,25,33,742.93,3,2,3,323,8,Gold,1
12375.0,11,17,457.5000000000001,4,1,2,412,7,Silver,1
12377.0,315,77,1628.1199999999997,1,3,3,133,7,Silver,1
12378.0,130,219,4008.6200000000013,2,4,4,244,10,Platinum,1
12379.0,82,40,852.2399999999997,2,2,3,223,7,Silver,1
12380.0,22,104,2724.81,3,4,4,344,11,Platinum,2
12381.0,5,87,1845.3100000000006,4,3,4,434,11,Platinum,2
12383.0,185,99,1850.5599999999997,1,4,4,144,9,Gold,1
12384.0,29,27,585.2700000000001,3,2,2,322,7,Silver,1
12386.0,338,10,401.90000000000003,1,1,2,112,4,Bronze,0
12388.0,16,100,2780.6600000000003,4,4,4,444,12,Platinum,2
12390.0,80,32,549.8399999999999,2,2,2,222,6,Silver,1
12391.0,22,93,439.65999999999997,3,3,2,332,8,Gold,1
12393.0,72,64,1582.6000000000004,2,3,3,233,8,Gold,1
12394.0,64,27,1272.48,2,2,3,223,7,Silver,1
12395.0,19,156,3018.6299999999987,3,4,4,344,11,Platinum,2
12397.0,36,126,2409.9000000000005,3,4,4,344,11,Platinum,1
12398.0,46,85,1635.6599999999999,3,3,3,333,9,Gold,1
12399.0,119,59,1108.65,2,3,3,233,8,Gold,1
12401.0,303,5,84.3,1,1,1,111,3,Bronze,0
12402.0,323,11,225.6,1,1,1,111,3,Bronze,0
12403.0,50,5,427.7,3,1,2,312,6,Silver,0
12405.0,149,54,1710.3900000000006,1,3,4,134,8,Gold,1
12406.0,22,105,3415.300000000001,3,4,4,344,11,Platinum,2
12407.0,50,77,1708.1199999999997,3,3,4,334,10,Platinum,1
12408.0,33,105,2888.5500000000006,3,4,4,344,11,Platinum,1
12409.0,79,109,11072.670000000002,2,4,4,244,10,Platinum,1
12410.0,309,26,693.3299999999999,1,2,3,123,6,Silver,0
12412.0,75,61,1226.8799999999999,2,3,3,233,8,Gold,1
12413.0,67,38,758.0999999999999,2,2,3,223,7,Silver,1
12414.0,217,18,562.41,1,2,2,122,5,Bronze,0
12415.0,24,714,124914.52999999975,3,4,4,344,11,Platinum,2
12417.0,3,192,3649.1,4,4,4,444,12,Platinum,2
12418.0,113,34,668.5799999999997,2,2,3,223,7,Silver,1
12420.0,64,29,600.3900000000001,2,2,2,222,6,Silver,1
12421.0,16,45,807.0400000000002,4,3,3,433,10,Platinum,1
12422.0,96,39,803.5599999999998,2,2,3,223,7,Silver,1
12423.0,1,125,1859.3100000000002,4,4,4,444,12,Platinum,2
12424.0,163,30,1760.9599999999998,1,2,4,124,7,Silver,1
12425.0,78,36,777.1999999999999,2,2,3,223,7,Silver,1
12426.0,195,30,582.7299999999999,1,2,2,122,5,Bronze,0
12427.0,22,31,825.8000000000002,3,2,3,323,8,Gold,1
12428.0,26,294,7956.460000000004,3,4,4,344,11,Platinum,2
